ALEXANDER,Masculino,181,20362
ALEXANDRA,Feminino,89381,1086
ALEXANDRE,Masculino,2434,441663
ALEXANDRO,Masculino,478,76472
ALEXEI,Masculino,0,403
ALEXON,Masculino,0,710
ALEXSANDRA,Feminino,18137,159
ALEXSANDRO,Masculino,253,45536
ALEXSSANDRA,Feminino,2806,25
ALFREDINA,Feminino,655,
ALFREDO,Masculino,140,57217
ALGACIR,Masculino,0,558
ALGACYR,Masculino,0,24
ALGEU,Masculino,0,237
ALICE,Masculino,191430,830
ALICEU,Masculino,0,152
ALICINO,Masculino,0,124
ALICIO,Masculino,0,4907
ALIETE,Feminino,3948,21
ALINE,Feminino,509869,1868
ALINI,Feminino,3337,
ALINNE,Feminino,1385,
ALINY,Feminino,1190,
ALIR,Feminino,59,174
ALISON,Feminino,764,72186
ALISSON,Masculino,810,94270
ALITA,Feminino,819,
ALLAN,Masculino,267,30678
ALLANA,Feminino,4529,22
ALLINE,Feminino,1723,
ALLISSON,Feminino,26,2144
ALMERI,Feminino,887,477
ALMERINDA,Masculino,18286,78
ALMIR,Masculino,266,64288
ALMIRA,Masculino,10462,49
ALMIRO,Masculino,27,9021
ALOIZ,Masculino,0,31
ALTAIR,Feminino,3750,34047
ALTAMIR,Masculino,110,8965
ALTEMAR,Masculino,24,3132
ALTEVIR,Masculino,0,1667
ALTINA,Feminino,5049,22
ALTIVIR,Masculino,0,259
ALUISIO,Feminino,50,18029
ALVACELI,Feminino,29,
ALVACIR,Feminino,490,1537
ALVANDI,Masculino,0,22
ALVANIR,Masculino,1199,981
ALVARO,Masculino,266,65444
ALVIMAR,Feminino,69,2472
ALVIN,Masculino,0,785
ALVINA,Masculino,11335,48
ALVINO,Feminino,32,10257
ALYNE,Feminino,2148,
ALYSSON,Masculino,52,5588
ALZENI,Masculino,1979,62
ALZENIR,Masculino,6274,630
ALZIRA,Feminino,64176,210
ALZIRENE,Feminino,1051,
ALZIRIO,Masculino,0,126
AMADEUS,Masculino,28,5732
AMANDA,Feminino,464624,1808
AMANDIO,Masculino,0,1654
AMARILDA,Masculino,1451,25
AMARILDO,Masculino,110,34838
AMARILIS,Feminino,1159,
AMARO,Feminino,94,33147
AMAURI,Masculino,193,35866
AMBROSIO,Masculino,0,3600
AMELIA,Feminino,56130,152
AMERI,Feminino,119,
AMILTO,Masculino,0,2039
AMILTON,Masculino,118,41900
AMIRA,Feminino,514,
ANA,Feminino,3079729,10129
ANADIR,Masculino,4419,566
ANAI,Feminino,1064,
ANAIR,Feminino,7283,327
ANALIA,Masculino,20640,50
ANALICE,Masculino,16354,46
ANALINE,Feminino,1033,
ANALIZ,Feminino,146,
ANALU,Feminino,2483,
ANALUCIA,Feminino,1538,
ANAMARIA,Feminino,1319,
ANAMIR,Masculino,220,51
ANANDA,Masculino,13231,54
ANANIAS,Feminino,413,18428
ANAOR,Masculino,0,137
ANAPAULA,Feminino,1409,
ANASTACIO,Masculino,41,6433
ANATOLIO,Masculino,0,356
ANDERSON,Masculino,2473,470777
ANDIARA,Feminino,2658,25
ANDRE,Masculino,4833,578975
ANDREA,Feminino,174949,1145
ANDREIA,Feminino,290970,1120
ANDRELI,Feminino,507,44
ANDREO,Masculino,0,1566
ANDRESA,Feminino,43859,208
ANDRESSA,Masculino,184933,805
